,action,cos,sin,omega,reward
190,0.887749195098877,0.997143566608429,-0.07552951574325562,-0.00986927654594183,-0.007181935478001833
191,0.6695753931999207,0.9972702264785767,-0.0738382562994957,0.03391989693045616,-0.006173660047352314
192,0.44619736075401306,0.9974355101585388,-0.0715707316994667,0.04547081142663956,-0.005776173435151577
193,0.3416440188884735,0.997587263584137,-0.0694241151213646,0.043039362877607346,-0.0054546198807656765
194,0.41358986496925354,0.9977677464485168,-0.06677978485822678,0.0530097559094429,-0.005183766596019268
195,0.7477645874023438,0.998135507106781,-0.061037078499794006,0.11508960276842117,-0.00530633982270956
196,-0.06717453896999359,0.9983118772506714,-0.05808055400848389,0.05923561379313469,-0.005059234332293272
197,0.05430445075035095,0.9983803629875183,-0.05689148232340813,0.023820865899324417,-0.0037309855688363314
198,0.19887366890907288,0.9984114766120911,-0.0563431978225708,0.010983305983245373,-0.003336432622745633
199,0.11754806339740753,0.9983727931976318,-0.05702419579029083,-0.013641881756484509,-0.003203801577910781
200,0.448987752199173,-0.4450159966945648,0.8955225944519043,0.5183436274528503,-0.0034754895605146885
201,-2.0,-0.48441243171691895,0.8748397827148438,0.8899856209754944,-4.159844875335693
202,-2.0,-0.5379447937011719,0.8429800868034363,1.2461154460906982,-4.395008563995361
203,-2.0,-0.6027273535728455,0.7979471683502197,1.57835054397583,-4.733717918395996
204,-2.0,-0.6748454570770264,0.737959086894989,1.876810908317566,-5.171361446380615
205,-2.0,-0.749475359916687,0.6620322465896606,2.1302802562713623,-5.699512481689453
206,-2.0,-0.8212563395500183,0.5705593824386597,2.3268043994903564,-6.3048505783081055
207,-2.0,-0.8849309086799622,0.46572229266166687,2.454723834991455,-6.96861457824707
208,-2.0,-0.9361608028411865,0.35157209634780884,2.5040156841278076,-7.666970729827881
209,-2.0,-0.9723125100135803,0.2336842566728592,2.4676947593688965,-8.372440338134766
210,-2.0,-0.9929614067077637,0.11843857169151306,2.3429579734802246,-9.056203842163086
211,-2.0,-0.9999264478683472,0.012127600610256195,2.131786823272705,-9.690720558166504
212,-2.0,-0.9968084096908569,-0.07983119040727615,1.8408825397491455,-10.25200080871582
213,-2.0,-0.9881705045700073,-0.15335910022258759,1.4810091257095337,-9.716747283935547
214,-2.0,-0.9785971641540527,-0.2057853639125824,1.0659898519515991,-9.149248123168945
215,-2.0,-0.9718471169471741,-0.23561246693134308,0.611650824546814,-8.7279052734375
216,-2.0,-0.970235288143158,-0.24216416478157043,0.1349414736032486,-8.473140716552734
217,-2.0,-0.9742870330810547,-0.22531048953533173,-0.3466816544532776,-8.398411750793457
218,-2.0,-0.9826632142066956,-0.18539959192276,-0.815664529800415,-8.509344100952148
219,-2.0,-0.992353618144989,-0.12342721968889236,-1.2547142505645752,-8.803230285644531
220,-2.0,-0.9991440176963806,-0.041366737335920334,-1.6472846269607544,-9.268848419189453
221,-2.0,-0.9983451962471008,0.05750519782304764,-1.9783096313476562,-9.886682510375977
222,-2.0,-0.9857036471366882,0.16848842799663544,-2.2351808547973633,-9.906770706176758
223,-2.0,-0.9583191275596619,0.28569990396499634,-2.4088144302368164,-9.338150978088379
224,-2.0,-0.9153324365615845,0.4026990830898285,-2.494539499282837,-8.717321395874023
225,-2.0,-0.8581764698028564,0.5133547782897949,-2.4925153255462646,-8.063505172729492
226,-2.0,-0.7903205156326294,0.6126936674118042,-2.407499074935913,-7.39828634262085
227,-2.0,-0.7166122794151306,0.6974717378616333,-2.247978925704956,-6.744565963745117
228,-2.0,-0.6424486041069031,0.766328752040863,-2.0248751640319824,-6.124958038330078
229,-2.0,-0.5730172991752625,0.8195433020591736,-1.7501285076141357,-5.5600385665893555
230,-2.0,-0.51277095079422,0.8585254549980164,-1.4354710578918457,-5.066965103149414
231,-2.0,-0.4651733338832855,0.8852196335792542,-1.0915769338607788,-4.658805847167969
232,-2.0,-0.43266555666923523,0.901554524898529,-0.7276622653007507,-4.344645023345947
233,-2.0,-0.4167548716068268,0.909018874168396,-0.3514963686466217,-4.130256652832031
